year,cumCapKw,cost_per_kw,cost_per_kw_lb,cost_per_kw_ub,learning,country,scenario
2027-01-01,1218294130.3581986,335.0156430583194,291.43818061088666,384.0575761321019,National,U.S.,National Trends
2028-01-01,1273732638.931521,328.5065755813842,284.8059896244914,377.8674481027797,National,U.S.,National Trends
2029-01-01,1319020716.9588246,323.48491976705,279.79354703770514,373.031778867352,National,U.S.,National Trends
2030-01-01,1351144078.7009335,320.0711601151381,276.41087684728103,369.7736686652,National,U.S.,National Trends
2020-01-01,713970000,252.15558589220794,217.85605796519482,291.3205024393358,Global,China,National Trends
2021-01-01,795871594.4549509,237.184758121019,202.43936874135522,277.31910850784016,Global,China,National Trends
2022-01-01,887168361.2200315,223.1027692123975,188.0635455160712,263.8870109065353,Global,China,National Trends
2023-01-01,988938048.0890965,209.85684756709256,174.41987055327584,251.81911067163523,Global,China,National Trends
2024-01-01,1102382034.469006,197.39735470908104,161.99135757903687,239.94456500833246,Global,China,National Trends
2025-01-01,1228839513.5248547,185.67759926768747,150.49630903350933,228.81376590131663,Global,China,National Trends
2026-01-01,1369803301.200712,174.65366200383963,139.6161860556484,218.29231483412843,Global,China,National Trends
2027-01-01,1526937458.7395353,164.28423122476235,129.64028381003544,208.2645605654341,Global,China,National Trends
2028-01-01,1702096936.7340713,154.53044797032524,120.13637415629422,198.70448361927902,Global,China,National Trends
2029-01-01,1897349472.6044974,145.35576039089798,111.36313493350195,189.648665340871,Global,China,National Trends
2030-01-01,2115000000.0000021,136.7257867709891,103.24029456001117,181.06127330710396,Global,China,National Trends
2020-01-01,713970000,252.15558589220794,217.85605796519482,291.3205024393358,National,China,National Trends
2021-01-01,790577964.3817514,238.07856887839768,203.38218940081168,278.15931247866354,National,China,National Trends
2022-01-01,870107593.4054546,225.55786667542415,190.5501731396883,266.3338641895372,National,China,National Trends
2023-01-01,952260003.4569075,214.37496676152213,179.08131114164632,255.9776945835395,National,China,National Trends
2024-01-01,1036634103.5901632,204.35892010151778,168.89447641737635,246.4566556596423,National,China,National Trends
