year,country,ann_savings_bil,ann_savings_bil_lb,ann_savings_bil_ub,cum_savings_bil,cum_savings_bil_lb,cum_savings_bil_ub,scenario
2025-01-01,China,0.8267481873147473,0.7468948362220376,0.9053914476988827,1.8394316580993502,1.6410697432974042,2.026702463989455,Sustainable Development
2026-01-01,China,1.2270079487478651,1.1178788621732736,1.3380503709325797,3.0664396068472155,2.7589486054706778,3.364752834922035,Sustainable Development
2027-01-01,China,1.7443553990574343,1.5977378966477291,1.9002562238134961,4.81079500590465,4.356686502118407,5.265009058735531,Sustainable Development
2028-01-01,China,2.405217417631835,2.2003251108372797,2.620935835910174,7.216012423536484,6.557011612955686,7.885944894645705,Sustainable Development
2029-01-01,China,3.2437008693382716,2.953262079322615,3.5434359217440234,10.459713292874756,9.510273692278302,11.42938081638973,Sustainable Development
2030-01-01,China,4.304306277831889,3.8830377629918185,4.718005000392176,14.764019570706644,13.393311455270121,16.147385816781906,Sustainable Development
2020-01-01,Germany,0,0,0,0,0,0,Sustainable Development
2021-01-01,Germany,0.00826829147885019,0.006678739586795109,0.009715959101117479,0.00826829147885019,0.006678739586795109,0.009715959101117479,Sustainable Development
2022-01-01,Germany,0.025390622649971623,0.020745274203379484,0.029551992371745585,0.03365891412882181,0.027424013790174593,0.039267951472863064,Sustainable Development
2023-01-01,Germany,0.052422296411918735,0.043280075923507216,0.060444019061509736,0.08608121054074055,0.0707040897136818,0.0997119705343728,Sustainable Development
2024-01-01,Germany,0.09093625990380606,0.07585479576159526,0.10394341930036957,0.1770174704445466,0.14655888547527707,0.20365538983474238,Sustainable Development
2025-01-01,Germany,0.1431389095962303,0.12049648183594114,0.16234758260603302,0.3201563800407769,0.2670553673112182,0.3660029724407754,Sustainable Development
2026-01-01,Germany,0.21207341617049358,0.1801279926923886,0.23869753698679577,0.5322297962112705,0.4471833600036068,0.6047005094275711,Sustainable Development
2027-01-01,Germany,0.30195624546829875,0.25869323705649,0.337463185672582,0.8341860416795692,0.7058765970600969,0.9421636951001532,Sustainable Development
2028-01-01,Germany,0.41873849041948424,0.3615202157431619,0.4653222274416869,1.2529245320990534,1.0673968128032587,1.4074859225418401,Sustainable Development
2029-01-01,Germany,0.5710784327074807,0.4961610358118795,0.6316669818815056,1.8240029648065341,1.5635578486151382,2.0391529044233456,Sustainable Development
2030-01-01,Germany,0.7721293239598664,0.6749694195073808,0.8507167204122514,2.5961322887664005,2.238527268122519,2.889869624835597,Sustainable Development
